id,text,timestamp
1,Amazing quality and fantastic support.,02-01-2023 06:23
2,I love the new features of this product!,24-02-2023 20:01
3,I am not happy with the recent changes.,02-01-2023 09:38
4,The design is sleek and user-friendly.,29-01-2023 12:56
5,"Not bad, but could be better.",07-02-2023 05:53
6,The update improved performance significantly.,18-02-2023 02:00
7,"The service was okay, nothing special.",23-01-2023 14:05
8,I am not happy with the recent changes.,26-01-2023 07:01
9,"Worst experience ever, very disappointed.",26-02-2023 17:49
10,This is the best product I have ever used!,10-02-2023 00:24
11,"The service was okay, nothing special.",15-01-2023 16:00
12,The design is sleek and user-friendly.,09-03-2023 15:23
13,"Not bad, but could be better.",26-01-2023 20:36
14,"Worst experience ever, very disappointed.",26-02-2023 03:27
15,Amazing quality and fantastic support.,05-03-2023 02:20
16,I love the new features of this product!,05-01-2023 01:54
17,I am not happy with the recent changes.,28-01-2023 12:10
18,"Terrible service, will not recommend.",30-01-2023 11:11
19,"Not bad, but could be better.",18-01-2023 04:44
20,Amazing quality and fantastic support.,23-01-2023 01:15
21,I love the new features of this product!,08-02-2023 02:30
22,The update improved performance significantly.,26-01-2023 08:12
23,"The service was okay, nothing special.",17-01-2023 13:34
24,"Terrible service, will not recommend.",22-02-2023 02:10
25,The update improved performance significantly.,13-01-2023 01:59
26,"Not bad, but could be better.",22-01-2023 05:41
27,"Not bad, but could be better.",07-01-2023 22:40
28,"Not bad, but could be better.",10-01-2023 03:47
29,"Terrible service, will not recommend.",28-02-2023 00:42
30,The update improved performance significantly.,18-02-2023 02:11
31,I am not happy with the recent changes.,06-03-2023 22:38
32,"Not bad, but could be better.",10-01-2023 07:42
33,The design is sleek and user-friendly.,28-01-2023 22:17
34,"Terrible service, will not recommend.",31-01-2023 22:04
35,"Terrible service, will not recommend.",15-01-2023 10:40
36,"Terrible service, will not recommend.",07-01-2023 23:18
37,The design is sleek and user-friendly.,07-01-2023 08:52
38,I love the new features of this product!,03-02-2023 10:37
39,The design is sleek and user-friendly.,10-02-2023 10:25
40,"The service was okay, nothing special.",28-02-2023 05:40
